Date,Closing Price (USD),Open,High,Low,Change %
"Apr 03, 2020","1,618.45","1,615.09","1,626.07","1,606.30",0.29%
"Apr 02, 2020","1,613.79","1,590.52","1,621.15","1,579.04",1.18%
"Apr 01, 2020","1,595.05","1,571.00","1,603.41","1,566.97",1.51%
"Mar 31, 2020","1,571.31","1,618.49","1,626.27","1,566.23",-3.20%
"Mar 30, 2020","1,623.30","1,622.00","1,639.61","1,608.72",-0.01%
"Mar 27, 2020","1,623.50","1,632.38","1,637.86","1,612.22",-0.54%
"Mar 26, 2020","1,632.39","1,617.25","1,647.28","1,595.84",1.15%
"Mar 25, 2020","1,613.79","1,628.19","1,643.05","1,587.20",-0.51%
"Mar 24, 2020","1,622.03","1,553.71","1,638.72","1,553.41",4.39%
"Mar 23, 2020","1,553.81","1,508.15","1,561.48","1,485.10",3.71%
"Mar 20, 2020","1,498.24","1,470.54","1,516.25","1,460.30",1.85%
"Mar 19, 2020","1,471.00","1,485.90","1,501.05","1,464.18",-1.03%
"Mar 18, 2020","1,486.30","1,527.70","1,546.22","1,472.86",-2.77%
"Mar 17, 2020","1,528.57","1,512.45","1,553.26","1,465.81",0.92%
"Mar 16, 2020","1,514.61","1,550.55","1,573.49","1,451.50",-0.99%
"Mar 13, 2020","1,529.70","1,576.95","1,597.72","1,506.86",-3.00%
"Mar 12, 2020","1,577.08","1,634.80","1,650.47","1,561.01",-3.54%
"Mar 11, 2020","1,635.03","1,649.69","1,671.13","1,632.97",-0.87%
"Mar 10, 2020","1,649.36","1,679.10","1,680.53","1,642.15",-1.84%
"Mar 09, 2020","1,680.20","1,694.40","1,702.96","1,657.74",0.36%
"Mar 06, 2020","1,674.23","1,670.58","1,692.10","1,648.12",0.22%
"Mar 05, 2020","1,670.61","1,635.91","1,674.69","1,635.07",2.13%
"Mar 04, 2020","1,635.83","1,639.76","1,651.65","1,632.06",-0.24%
"Mar 03, 2020","1,639.77","1,590.77","1,649.55","1,587.86",3.08%
"Mar 02, 2020","1,590.73","1,591.10","1,611.03","1,579.70",0.35%
"Feb 28, 2020","1,585.13","1,642.15","1,649.48","1,565.86",-3.48%
"Feb 27, 2020","1,642.35","1,640.55","1,660.57","1,635.65",0.15%
"Feb 26, 2020","1,639.96","1,635.37","1,655.09","1,625.79",0.28%
"Feb 25, 2020","1,635.38","1,660.72","1,660.86","1,629.10",-1.53%
"Feb 24, 2020","1,660.72","1,659.05","1,689.11","1,652.37",1.04%
